experiment,scene,condition,target,nominal_distance_mm,yaw_deg,repeat_index,source_summary,num_frames,roi_width,roi_height,roi_pixels,zero_ratio,max_uint16_ratio,max_uint16_affected_frames,max_uint16_max_pixels_per_frame,temporal_median_std_mm,temporal_mean_std_mm,temporal_p95_std_mm,measured_median_mm,measured_mean_mm,measured_std_mm,measured_p05_mm,measured_p95_mm,measured_offset_from_nominal_mm,plane_successful_frames,plane_failed_frames,plane_success_ratio,plane_distance_median_mm,plane_distance_offset_from_nominal_mm,plane_distance_temporal_std_mm,tilt_median_deg,tilt_temporal_std_deg,tilt_error_from_nominal_deg,plane_rmse_median_mm,plane_rmse_p95_mm,plane_p95_abs_median_mm,plane_inlier_ratio_median
scene02_yaw45_white_d100_r03,scene02,scene02_yaw45_white_d100,white,1000,45,3,results/scene02_yaw45_white_d100_r03/baseline/summary.yaml,893,132,112,14784,0.011442790365662706,0.0,0,0,1.9826110633485365,2.07968301004935,3.1696601575564896,1087.0,1086.7323628219485,0.713048056006286,1086.0,1088.0,87.0,893,0,1.0,935.8668144501625,-64.13318554983755,0.7877766464044954,28.387130847785766,0.07535341895830185,-16.612869152214234,4.191667579982546,4.394261890886105,7.885559784155449,0.8204777222640476
scene02_yaw60_white_d100_r01,scene02,scene02_yaw60_white_d100,white,1000,60,1,results/scene02_yaw60_white_d100_r01/baseline/summary.yaml,879,83,98,8134,0.026862622181978595,0.0,0,0,2.0296597429106837,2.169086727569691,3.467422721770076,1084.0,1084.146188850967,0.9769614223515026,1083.0,1086.0,84.0,879,0,1.0,604.6336141081177,-395.36638589188226,2.816542559375795,56.672209327403586,0.1983489898151662,-3.3277906725964144,8.214911604172071,11.156310750078868,5.730210326878221,0.9191435768261965
scene02_yaw60_white_d100_r02,scene02,scene02_yaw60_white_d100,white,1000,60,2,results/scene02_yaw60_white_d100_r02/baseline/summary.yaml,893,83,98,8134,0.02753652358823965,0.0,0,0,2.046452276302242,2.1744998898515697,3.4953132906072364,1084.0,1084.2698768197088,1.0016557884489177,1083.0,1086.0,84.0,893,0,1.0,606.5388295959059,-393.4611704040941,2.8782928908426113,56.516394844967344,0.2023042594585783,-3.483605155032656,2.7503213879745934,11.180021385968566,5.255142664454503,0.9391282246791206
scene02_yaw60_white_d100_r03,scene02,scene02_yaw60_white_d100,white,1000,60,3,results/scene02_yaw60_white_d100_r03/baseline/summary.yaml,881,83,98,8134,0.02911993127598536,0.0,0,0,2.0395942995456418,2.1611145210874474,3.4816810686271107,1084.0,1084.5181611804767,0.8924639852342858,1083.0,1086.0,84.0,881,0,1.0,607.0001364644608,-392.99986353553925,1.737484086895301,56.481592149670824,0.12112138669292973,-3.518407850329176,2.917886185284739,10.313589984851259,5.249304502716101,0.9396825396825397
scene03_black_d100_r01,scene03,scene03_black_d100,black,1000,,1,results/scene03_black_d100_r01/baseline/summary.yaml,860,107,203,21721,2.4196924421013638e-05,0.0,0,0,1.711711449332862,2.2022115261610904,4.597158931771007,1006.0,1005.6383720930232,0.482885851177804,1005.0,1006.0,6.0,860,0,1.0,1005.8102422123163,5.810242212316325,0.15683995589682906,4.514422591979608,0.15160675380040828,,4.323021005770264,4.582590993365847,8.531947596322723,0.7623213097660834
scene03_black_d100_r02,scene03,scene03_black_d100,black,1000,,2,results/scene03_black_d100_r02/baseline/summary.yaml,862,107,203,21721,5.661334081626397e-06,0.0,0,0,1.7879491744058869,2.2620161312904012,4.63184595517692,1006.0,1005.7064965197216,0.4604340979690518,1005.0,1006.0,6.0,862,0,1.0,1006.0939275861374,6.093927586137397,0.16228143268150663,4.700088604444379,0.13903129790513394,,4.373812667448352,4.6448814554143745,8.457843697317614,0.7446710556604208
scene03_black_d100_r03,scene03,scene03_black_d100,black,1000,,3,results/scene03_black_d100_r03/baseline/summary.yaml,880,107,203,21721,8.789148331526674e-06,0.0,0,0,1.7824172294152618,2.250178435277911,4.5658845606028855,1006.0,1005.5704545454546,0.49958143637473956,1005.0,1006.0,6.0,880,0,1.0,1005.9497385381395,5.949738538139513,0.16476063518488912,4.669739980663085,0.14382621373011564,,4.352284968736997,4.618768398556127,8.446247032803335,0.7494763015872734
scene03_cbd_d100_r01,scene03,scene03_cbd_d100,cbd,1000,,1,results/scene03_cbd_d100_r01/baseline/summary.yaml,889,91,193,17563,0.0,0.0,0,0,1.2417703938148803,1.3332508767444005,2.14698030761609,1008.0,1007.9910011248594,0.0944346090520376,1008.0,1008.0,8.0,889,0,1.0,1007.9702422595109,7.970242259510883,0.1253087132839622,3.583420592556925,0.05654537128413862,,5.1515743711200805,5.26077851790018,10.24004996644314,0.6827990662187553
scene03_cbd_d100_r02,scene03,scene03_cbd_d100,cbd,1000,,2,results/scene03_cbd_d100_r02/baseline/summary.yaml,890,91,193,17563,0.0,0.0,0,0,1.2026860551506113,1.2860833766727329,2.047325199089162,1008.0,1007.9865168539326,0.11533148243016933,1008.0,1008.0,8.0,890,0,1.0,1007.9334020377842,7.9334020377841625,0.09941611385341388,3.696717400670674,0.07377630558276484,,5.047967047535043,5.205237793983886,10.048917948491216,0.686300745886238
scene03_cbd_d100_r03,scene03,scene03_cbd_d100,cbd,1000,,3,results/scene03_cbd_d100_r03/baseline/summary.yaml,891,91,193,17563,0.0,0.0,0,0,1.235961863922944,1.3137477319611934,2.047269335047588,1008.0,1007.9854096520763,0.11990608688113871,1008.0,1008.0,8.0,891,0,1.0,1007.969895330612,7.969895330611962,0.12193639345306953,3.7981729543964775,0.06389619888650287,,5.0786681781346825,5.2038965460369795,10.109931140245815,0.6834823207880203
scene03_reflection_d100_r01,scene03,scene03_reflection_d100,reflection,1000,,1,results/scene03_reflection_d100_r01/baseline/summary.yaml,892,216,173,37368,0.0,0.0,0,0,1.5285123049173135,1.7924942387197942,4.143001753207316,1053.0,1053.0280269058296,0.17170774835627853,1053.0,1053.0,53.0,892,0,1.0,1047.50196264877,47.501962648769904,0.13861673890469003,7.276672770303996,0.07681038959643857,,5.389906935794371,5.574418749298111,10.413701347533674,0.6348078569899379
scene03_reflection_d100_r02,scene03,scene03_reflection_d100,reflection,1000,,2,results/scene03_reflection_d100_r02/baseline/summary.yaml,860,216,173,37368,3.858543312771031e-06,0.0,0,0,1.5297560115597517,1.79803333845295,4.147975984861416,1053.0,1053.0151162790698,0.12201547925100466,1053.0,1053.0,53.0,860,0,1.0,1047.4888561958692,47.488856195869175,0.13954947282064414,7.27997667460183,0.07443203417234558,,5.39053210281403,5.585098973384252,10.44008530525186,0.6347141939627489
scene03_reflection_d100_r03,scene03,scene03_reflection_d100,reflection,1000,,3,results/scene03_reflection_d100_r03/baseline/summary.yaml,892,216,173,37368,1.0200329674655086e-06,0.0,0,0,1.515349869062177,1.7850591185294953,4.143052480978103,1053.0,1053.0078475336322,0.08823802948942777,1053.0,1053.0,53.0,892,0,1.0,1047.4500009231322,47.450000923132166,0.14446935918844778,7.2845665548371645,0.07408980977953197,,5.389282841550364,5.578221188005402,10.448318978623035,0.635945193748662
scene03_transparent_d100_r01,scene03,scene03_transparent_d100,transparent,1000,,1,results/scene03_transparent_d100_r01/baseline/summary.yaml,891,132,102,13464,0.09048538131029714,0.0,0,0,2.473966286941091,5.785739860946571,10.862094158473232,1005.0,1004.5948372615039,0.48977909242307166,1004.0,1005.0,5.0,891,0,1.0,462.1102599998882,-537.8897400001117,10.060632607628348,70.07416946380631,0.5936871050339153,,59.45745219453649,60.14629779303941,111.08651481010673,0.0621306631648063
scene03_transparent_d100_r02,scene03,scene03_transparent_d100,transparent,1000,,2,results/scene03_transparent_d100_r02/baseline/summary.yaml,881,132,102,13464,0.08929432537297931,0.0,0,0,2.3272218185255378,4.999702110006584,9.666866560691085,1005.0,1004.5641316685585,0.4975839022291636,1004.0,1005.0,5.0,881,0,1.0,461.4424771592628,-538.5575228407372,9.017412145169136,70.09339401611307,0.5187111173513915,,59.91524686514349,60.56343232988724,111.40806144657567,0.061715223635617565
scene03_transparent_d100_r03,scene03,scene03_transparent_d100,transparent,1000,,3,results/scene03_transparent_d100_r03/baseline/summary.yaml,618,132,102,13464,0.09379020069339887,0.0,0,0,2.29951669172302,5.158437158369711,8.60702939125868,1005.0,1004.5436893203884,0.4972747548341168,1004.0,1005.0,5.0,618,0,1.0,458.9651885046421,-541.0348114953579,12.421321728499954,70.25591740698557,0.7193957262743826,,59.81822301935865,60.528277000045634,111.82726022466615,0.061143057033919763
