frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
63,1785284691368884820,1948.0,2276.0,328.0,0.0,,0.016493055555555556,,0.20291666666666666,0.7135416666666666,0.0,0.0,0.0,0.0,8.379405940594062,-1.8613861386138613,ok,ok
64,1785284691412067345,1945.0,2272.0,327.0,0.0,,0.019965277777777776,,0.20583333333333334,0.6614583333333334,0.0,0.00125,0.0,0.0,9.45837320574163,-2.666666666666667,ok,ok
65,1785284691445502452,1945.0,2272.0,327.0,0.0,,0.018229166666666668,,0.14375,0.6822916666666666,0.0,0.0008333333333333334,0.0,0.0,4.325335803612784,-1.4488188976377954,ok,ok
66,1785284691477938482,1948.0,2272.0,324.0,0.0,,0.015625,,0.14916666666666667,0.71875,0.0,0.0,0.0,0.0,4.744228571428572,-1.456,ok,ok
67,1785284691512606256,1945.0,2276.0,331.0,0.0,,0.020833333333333332,,0.12375,0.640625,0.0,0.0,0.0,0.0,5.794343434343434,-1.690909090909091,ok,ok
68,1785284691535861454,1945.0,2276.0,331.0,0.0,,0.017361111111111112,,0.18791666666666668,0.703125,0.0,0.00125,0.0,0.0,8.825934065934067,-2.0357142857142856,ok,ok
69,1785284691568772309,1948.0,2276.0,328.0,0.0008012820512820513,,0.017361111111111112,,0.17666666666666667,0.6979166666666666,0.0,0.0,0.0,0.0,7.172413793103451,-1.5517241379310347,ok,ok
70,1785284691602709579,1945.0,2276.0,331.0,0.0,,0.014756944444444444,,0.16291666666666665,0.6770833333333334,0.0,0.0,0.0,0.0,6.254901960784315,-1.7843137254901962,ok,ok
71,1785284691635126936,1945.0,2276.0,331.0,0.0,,0.014756944444444444,,0.16333333333333333,0.7083333333333334,0.0,0.0,0.0,0.0,4.731428571428571,-1.6363636363636365,ok,ok
72,1785284691671358159,1945.0,2276.0,331.0,0.0,,0.026909722222222224,,0.09833333333333333,0.5677083333333334,0.0,0.0,0.0,0.0,4.126377952755907,-1.4330708661417324,ok,ok
73,1785284691703491267,1948.0,2272.0,324.0,0.0,,0.016493055555555556,,0.15416666666666667,0.6770833333333334,0.0,0.0,0.0,0.0,6.987183308494784,-1.5081967213114753,ok,ok
74,1785284691749223845,1945.0,2276.0,331.0,0.0,,0.025173611111111112,,0.13083333333333333,0.59375,0.0,0.0,0.0,0.0,5.198347107438017,-1.4710743801652892,ok,ok
75,1785284691780589013,1945.0,2276.0,331.0,0.0,,0.024305555555555556,,0.115,0.578125,0.0,0.0,0.0,0.0,4.74384236453202,-1.5517241379310347,ok,ok
